"WeeTU","k","p","c","o","Family","Genus","SciName"
"773.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"718.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Thunbergia","Thunbergia grandiflora"
"407.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"300.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"350.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"559.WeeTU","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Oreocarya","Oreocarya subretusa"
"303.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"760.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"555.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"843.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"742.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
"433.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"727.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"842.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"560.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"439.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"521.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"707.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"865.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"298.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
"435.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"558.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"588.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Kallstroemia","Kallstroemia parviflora"
"240.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"821.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Vitex","Vitex trifolia"
"601.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"329.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"410.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"819.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"684.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"385.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"375.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"636.WeeTU","Eukaryota","Streptophyta","None","Solanales","Solanaceae","Solanum","Solanum nienkui"
"330.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"616.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"313.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum cyrtophyllum"
"724.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"792.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"318.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
"766.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"463.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"306.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Saussurea","Saussurea sordida"
"624.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"879.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"660.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"774.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"348.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"464.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"309.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"794.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria medicaginea"
"552.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"768.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"448.WeeTU","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"423.WeeTU","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"538.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"372.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"441.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"516.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"243.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"607.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"692.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"900.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"572.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"911.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"667.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"469.WeeTU","Eukaryota","Streptophyta","None","Ranunculales","Ranunculaceae","Aconitum","Aconitum kusnezoffii"
"763.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"852.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"858.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Kallstroemia","Kallstroemia parviflora"
"889.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"518.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"282.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"893.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"686.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"670.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"279.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"491.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"834.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Viguiera","Viguiera eriophora"
"860.WeeTU","Eukaryota","Streptophyta","None","Ranunculales","Papaveraceae","Papaver","Papaver canescens"
"493.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
"662.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"896.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"642.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"651.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"772.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"374.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"289.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"332.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"514.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"669.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"838.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"449.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"363.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"676.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"677.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"460.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista pascuorum"
"346.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"881.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"871.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"437.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"902.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Lepidium","Lepidium ruderale"
"333.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"836.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria axillaris"
"652.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Croton","Croton kongensis"
"508.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Croton","Croton kongensis"
"623.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"492.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"526.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"657.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"777.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"868.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"606.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"533.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"593.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"846.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"783.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"759.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"378.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"829.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"712.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna alata"
"776.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"668.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"754.WeeTU","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Dasynotus","Dasynotus daubenmirei"
"543.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"513.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea lanata"
"515.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Acourtia","Acourtia nana"
"379.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"827.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"913.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"564.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Callicarpa","Callicarpa nudiflora"
"645.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"648.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helichrysum","Helichrysum arenarium"
"743.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"371.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"683.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"581.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"861.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"656.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"394.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"638.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"761.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"909.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"529.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"908.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"907.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"888.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"661.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"479.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"859.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"748.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"780.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna alata"
"711.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"488.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"862.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"440.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"452.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"389.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"737.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"368.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"482.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"906.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"483.WeeTU","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Oreocarya","Oreocarya crymophila"
"384.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"398.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"399.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"680.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"892.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"844.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"506.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"505.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"840.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"813.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"717.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"681.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"673.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"751.WeeTU","Eukaryota","Streptophyta","None","Solanales","Solanaceae","Solanum","Solanum nienkui"
"596.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"597.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"550.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Thunbergia","Thunbergia grandiflora"
"798.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"454.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"876.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"536.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"416.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"741.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"789.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"478.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"775.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"576.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Lepidium","Lepidium virginicum"
"517.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Lavatera","Lavatera cashemiriana"
"415.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"566.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"422.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"495.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"427.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"869.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"355.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"695.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"899.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"749.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"704.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"816.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"700.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"665.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"524.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Sigesbeckia","Sigesbeckia orientalis"
"730.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"561.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Viguiera","Viguiera eriophora"
"823.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"878.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"731.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna alata"
"487.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"845.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"804.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"365.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"353.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"705.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
