#OTU ID,blank1..,blank2..,blank3.Joe.,NTC1..,NTC2..,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU150,0,0,0,4,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; ; f__; g__; s__,0.862116041,0.086906062,0.566937644,0.011118566,0.939182237,0.135177453,0.017305777,0.614647502,0.013797116,0.906110927,0.822518775,0.048105321,0.388023439,0.953938773,0.341343723,0.792685888,0.301655757,0.8736309,0.913430646,0.949814238,0.008846349,0.436448876,0.522642193,0.410016491,0.917134831,0.970112991,0.403849679,0.020718495,0.953486784,0.004370716,0.960843113,0.180561878,0.001425917,0.88784565,0.001921742,0.230885312,0.397245147,0.934298908,0.693756884,0.676983386,0.33795767,0.846787248,0.743007143,0.201258283,0.932046643,0.00164535,0.636531979,23.85107644
OTU45559,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Scopolia; s__Scopolia_japonica; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001078167,0,0,0,0,0.023292157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024370324
OTU64,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0.022205414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022205414
OTU47141,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Fillaeopsis; s__Fillaeopsis_discophora; ,0,0.00211633,0,4.79E-05,5.42E-05,0.001565762,0.000311255,0.000427789,0.00016623,0.000365327,0,0.000275317,0.001715021,2.56E-05,0.001308628,6.07E-05,0.00038506,0.000274583,0.000151787,0,0.000145022,0.000297663,0,0.00168495,0,0,0.000824931,0.00551226,0,0,0,0.001203096,0.000475306,0,0,0,0.000464954,0,0.000173903,0.000709352,0.000308976,0,0,6.69E-05,3.09E-05,3.10E-05,0,0.021180804
OTU59434,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Chenopodioideae; g__Chenopodium; s__Chenopodium_leptophyllum; ,0,0,0,0,0,0,0,0,0.003823297,0,0,0.004855584,0,0,0,0.008224583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016903464
OTU13209,0,0,1,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Medicago; s__Medicago_sativa; ,6.83E-05,0,0,0,0,0,0,0.014544832,0,0,0,2.50E-05,0.000142918,0,0,0,0,3.05E-05,0,3.00E-05,0,0,0,3.59E-05,0,0,0,0,0,0.00023178,0,0,4.32E-05,0,5.34E-05,0,0,0,0,3.73E-05,6.18E-05,0,8.61E-05,0,0,0,9.50E-05,0.015485889
OTU6553,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Capsicum; ; s__,0,0,0,0,0,0,0,0.013175907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00211515,0,0,0,0.000190078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015481135
OTU2700,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,0.000273038,0.000887493,0.000140971,0.001270009,0,0.000417537,0.001027141,0.000228154,0.00120517,3.32E-05,0,0.000275317,0.000285837,0,0.00038664,0,0.00038506,0,2.53E-05,0,0.001196432,0.000520911,4.03E-05,0.0005736,0,0,0,0.001710701,0,0.000728453,0,0.000942967,0.000345677,0,0,0,0.000348716,0,0.000173903,0.000224006,0.000401668,0,0,0.00026772,0,0.00093133,4.75E-05,0.015294692
OTU20411,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0,0,0.000595722,0,0,0,0,0,0,0,0,0,0,0,0,3.05E-05,0,0,0,0,0.000483033,0,0.000330469,0,0.007699358,0,6.83E-05,0,0,0,0,0.000147281,0,0,0,0,0,0,0,0.002955873,0,0,0.001732084,0,0,0.014042631
OTU1023,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; ; s__,0.000273038,0.000955762,4.70E-05,0.00069491,0,0.000313152,0.000778137,0.000171116,0.000748036,3.32E-05,0,0.000475547,0.000285837,0,0.000446123,3.03E-05,0.000616095,0,0,0,0.001486477,7.44E-05,0.000161011,0.00046605,0,0,9.17E-05,0.000760312,0,0.000629118,0,0.000650322,0.000172838,0,0,0.001006036,0.000232477,0,0.000115935,0.000410678,0.000494361,0,0,0,0,0.000993419,0,0.013613414
OTU53045,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Thyridolepis; s__Thyridolepis_mitchelliana; ,0.000682594,6.83E-05,0.000798835,2.40E-05,0.000649878,0.000104384,0,0.000313712,0,0.000564596,0.000324167,0,0.000285837,0.000435507,0.000208191,0.000242792,0,0.000549166,0.000430064,0.000329578,0,0.000372079,0.000402528,0.00017925,0.000330469,0.00038054,0,0,0.000546411,0,0.000461348,0.000130064,0,0.000294562,0,0,0.000464954,0.000524769,0.000405774,0.000485346,6.18E-05,0.00035189,0.000258198,0.00020079,0.000278371,0,0.00042733,0.012567998
OTU1790,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Echinochloa; ; s__,0.000273038,6.83E-05,0.000657864,0,0.000758191,0,0,0.000313712,0,0.00043175,0.000378194,0,0.000142918,0.000742923,0.000327157,0.000273141,7.70E-05,0.000274583,0.000202383,0.000239693,0,0.000223248,0.000322022,3.59E-05,0.000413087,0.000409812,0.000274977,0.000190078,0.000580561,0,0.000432513,0.000130064,0,0.000515483,0,0,5.81E-05,0.000419815,0.000347806,0.000336009,0.000247181,0.000281512,0.000516396,6.69E-05,0.000278371,0,0.000522292,0.011762954
OTU5185,52,0,0,5774,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Dryadoideae; ; g__; s__,0,0,0,0,0,0,0,0,0.000498691,0,0.009400832,0.000275317,0,0,0,0.000151745,0,0,2.53E-05,0,0,0,0.000161011,0,0,0,0,0,0,0.000198669,0,0,4.32E-05,0,0,0,0,0,0,0,0,0.000492646,0,0,0,3.10E-05,0,0.011278462
OTU41409,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Pomaria; s__Pomaria_burchellii; ,6.83E-05,0.000409612,4.70E-05,0.000311512,0,0.000104384,0.000186753,2.85E-05,0.000124673,0,0,7.51E-05,0,0,0.000208191,0,0,0,0,0,0.000217533,0,0,7.17E-05,0,0,0,0.008173351,0,0.000264892,0,9.75E-05,0,0,0,0,5.81E-05,0,0,3.73E-05,0,0,0,6.69E-05,0,0.000248355,0,0.010799742
OTU27118,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Convolvulaceae; ; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002958965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007549499,0.010508464
OTU79531,0,0,659,0,0,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; s__Pinus_mugo; ,0.000136519,0.001092299,0,0,0,0.000104384,0.000249004,0,0,0,0.000702361,0,0,0,0,0,0,0,0.000809532,0,0.00242912,7.44E-05,0,0.0010755,0,0,0.000549954,0,0.000102452,3.31E-05,0,0.000227613,0,0.000331382,0,0,0.002150413,0,0,0,0,0,0,0,0,0,0,0.010068061
OTU4227,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,0,0.000750956,0,0.000766798,0,0,0.000715886,0.000228154,0.000581806,3.32E-05,0,0.000775892,0,0,0.000237932,0.000121396,0.000231036,6.10E-05,5.06E-05,0,0.000978899,7.44E-05,0.000161011,0.0002868,0,5.85E-05,9.17E-05,0.000380156,0,0.000596007,0,0.000520258,0.000345677,0,0,0,0.000116239,0,5.80E-05,0.00026134,0.000432566,0,0,0.00026772,0,0.00071402,0,0.009897961
OTU28083,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; ; s__,0,0.008738394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008799413
OTU97283,0,0,214,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Digitaria; s__Digitaria_ischaemum; ,0,0.000204806,0,0,5.42E-05,0.00177453,0,0,0,0,0,0,0.000428755,2.56E-05,0,0.000424886,0,3.05E-05,0.000126489,0,3.63E-05,0.001413901,0.000120758,0.0004302,8.26E-05,0,0,0,3.42E-05,0,0,0.000195097,0,0.000147281,0,0,0.000406835,0.000104954,0.00075358,3.73E-05,6.18E-05,0,0.00043033,0,3.09E-05,0,0.001376953,0.008732721
OTU62838,0,0,0,0,22778,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Cyperaceae; f__Cyperoideae; g__Carex; s__Carex_aquatilis; ,0,0,0,0,0,0,0,2.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008373243,0,0,0,0,0,0,0.008401762
OTU72144,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Bromus; s__Bromus_pumpellianus; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008309197,0.008309197
OTU27230,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Bistorta; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008250887,0,0,0,0,0,0,0,0.008250887
OTU36484,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Stryphnodendron; s__Stryphnodendron_pulcherrimum; ,0,0.000273075,0,0.000766798,0,0.000521921,0.000466882,0.000171116,0.000249345,0,0,0.000951094,0.000142918,0,0.00038664,3.03E-05,0.000616095,0,0,0,0.000217533,7.44E-05,4.03E-05,0.00017925,0,0,0,0.000570234,0,0.000430449,0,0.000390193,4.32E-05,0,0,0.000503018,5.81E-05,0,0,0.000149337,0.000216283,0,0,0,0,0.000620887,0,0.008069416
OTU60088,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Stryphnodendron; s__Stryphnodendron_duckeanum; ,0.000204778,0.000819224,0,0.000215662,0,0.000104384,0.000498008,2.85E-05,0.000457133,3.32E-05,0,0.000250288,0.000142918,0,0.00038664,6.07E-05,0.000154024,3.05E-05,0,0,0.000398811,0,0,0.00025095,0,0,9.17E-05,0.001140468,0,0.000529784,0,0.000455225,0.000172838,0,0,0,0.000232477,0,0,0.000186672,0.000370771,0,0,6.69E-05,0,0.000310443,0,0.007593026
OTU105827,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_exuvialis; ,6.83E-05,0.000136537,0,0.00079076,0,0,0.000435757,0.000114077,0.000623364,0,0,0.000275317,0.000285837,0,0.000416382,0,7.70E-05,0,2.53E-05,0,0.0003263,7.44E-05,0,0.00039435,0,0,9.17E-05,0.000190078,0,0.000496672,0,0.000455225,0.000345677,0,0,0.000503018,0.000116239,0,0,0.000186672,0.000278078,0,0,0.00013386,0,0.000496709,0,0.007337552
OTU1859,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; ; s__,0,0,0.001597669,0,0,0.004488518,6.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001434,0,0,0,0,0,0,0,0,0.000604935,0,0.000266909,0,0,0,0,0,0,0,0,0,0,0,0,0.007163681
OTU23860,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Mimosa; ; s__,6.83E-05,0.000273075,0,0.000599061,0,0.000208768,0.000560259,0.000142596,0.000540249,0,0,0.000350403,0,0,0.00038664,0,0.000154024,0.000122037,0,0,0.000471322,0.000818574,4.03E-05,0.00032265,0,0,0,0.000380156,0,0.000298003,0,0.000292645,8.64E-05,0,0,0,0.000116239,0,0,7.47E-05,0.000247181,0,0,6.69E-05,3.09E-05,0.000403576,4.75E-05,0.007102398
OTU9299,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Saxifragales; o__Altingiaceae; f__; g__Liquidambar; s__Liquidambar_styraciflua; ,0,0,0,0,0,0,0,0,0,0.006974427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007073762
OTU26541,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Diptychandra; s__Diptychandra_aurantiaca; ,0,0.000409612,0,0.000359436,0,0.000104384,0.000373506,0.000114077,0.000249345,3.32E-05,0,0.000475547,0,0,0.000416382,0,0.000231036,0,0,0,0.0003263,0.000148832,0,0.00025095,0,0,0,0.000190078,0,0.000331115,0,0.000390193,8.64E-05,0,0,0.001509054,0.000116239,0,5.80E-05,7.47E-05,0.000216283,0,0,0,0,0.000465665,0,0.006930301
OTU70964,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Muhlenbergia; s__Muhlenbergia_porteri; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006492377,0,0,0,0,0,0,0,0,0.006492377
OTU91370,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Eragrostis; s__Eragrostis_obtusiflora; ,0.000204778,0,0.000281942,0,0.000324939,0,3.11E-05,0.000199635,0,0.000265692,0.000162083,2.50E-05,0,0.00012809,8.92E-05,0.000121396,7.70E-05,3.05E-05,0.000101192,0.000389501,0,0,4.03E-05,0.00017925,0.000247852,5.85E-05,0,0,0.000273205,0,0.000403679,3.25E-05,0,0.000184101,0,0.000503018,0.000174358,0.000209908,5.80E-05,7.47E-05,9.27E-05,7.04E-05,0.000172132,0.00013386,0.00015465,0,0.000332368,0.00582755
OTU1123,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,6.83E-05,0,4.70E-05,0,5.42E-05,0,0,2.85E-05,0,6.64E-05,0.000108056,0,0,5.12E-05,0,0,0,3.05E-05,2.53E-05,0.000149808,0,0,4.03E-05,3.59E-05,0.000247852,0,0,0,3.42E-05,0,5.77E-05,0,0,0.000110461,0,0,5.81E-05,0.000104954,0,3.73E-05,6.18E-05,0,8.61E-05,0.003881936,3.09E-05,0,0.000379849,0.005796473
OTU50986,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Tachigali; s__Tachigali_densiflora; ,0,0.000204806,0,0.000215662,0,0,0.00034238,0.000142596,0.000581806,6.64E-05,0,0.000175201,0.000285837,0,8.92E-05,3.03E-05,0.000154024,0,0,0,0.000471322,7.44E-05,0,0.00017925,0,0,9.17E-05,0,0,0.000198669,0,0.000422709,0.000172838,0,0,0.000503018,0.000639312,0,0,7.47E-05,0.000278078,0,0,0.00020079,0,0.000155222,0,0.005750261
OTU22483,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; ; s__,0,0.000136537,4.70E-05,0.000311512,0,0.000208768,0.000124502,0.000142596,0.000124673,3.32E-05,0,0.000125144,0.000428755,0,0.000148708,0,0.000231036,3.05E-05,0,0,7.25E-05,0,8.05E-05,0.00032265,0,0,0.000183318,0.001520623,0,0.00023178,0,0.000390193,0,0,0,0,5.81E-05,0,5.80E-05,0,0.000216283,0,0,6.69E-05,0,0.000310443,4.75E-05,0.005651748
OTU15113,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Hieracium; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005407883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005407883
OTU419,0,0,1541,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,0,0,0,0,0,0,0,0,0,3.32E-05,0,0,0.000142918,0,0,0.004764795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09E-05,0,0,0.004971855
OTU5609,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; ; s__,0,0,0,0,0,0.000104384,0,2.85E-05,0,3.32E-05,0,0,0.000285837,0,0,0,0,6.10E-05,2.53E-05,3.00E-05,0,0,4.03E-05,0.0002868,0,0,9.17E-05,0,0,0,0,0,4.32E-05,0,0,0,0,0.000104954,0.000231871,0.000112003,0,0,8.61E-05,0.003346496,3.09E-05,0,0,0.004942471
OTU20785,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; ; s__,6.83E-05,0.000341344,0,0.000143775,0,0.000104384,0.000155627,2.85E-05,0.000207788,3.32E-05,0,0.000150173,0.000285837,0,0.000267674,3.03E-05,0.000154024,0,0,0,0.000398811,7.44E-05,0,0.00025095,0,0,0,0.000380156,0,9.93E-05,0,0.000195097,0.000172838,0,0,0.000503018,0.000232477,0,0,0.000112003,0.00012359,0,0,0,0,0.000155222,0,0.004668876
OTU3650,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0,0,0.000270783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523286,0,8.26E-05,0,0.002474794,0,0,0,0,0,0,3.68E-05,0,0,0,0,0,0,0,0.000633401,0,0,0.000587671,0,0,0.004609373
OTU51,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59E-05,0,0,0.003666361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000844535,0,0,0,0,0,0.004546746
OTU5381,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Salicaceae; f__; g__Populus; ; s__,0,0,0,0,0,0.004384134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004384134
OTU17328,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Rupichloa; ; s__,0.000136519,6.83E-05,4.70E-05,0,0.000270783,0,0,8.56E-05,0,0.000166058,0.000162083,0,0,0.00012809,5.95E-05,6.07E-05,0,9.15E-05,0.000101192,5.99E-05,0,0,0,3.59E-05,0.000247852,8.78E-05,0,0,0.000102452,0,2.88E-05,0,0,7.36E-05,0,0,0,0.000314861,0.000521709,3.73E-05,3.09E-05,7.04E-05,0.000602461,0.00013386,0.000433021,0,0.000189925,0.004348065
OTU1664,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0.000704854,0,0,0.001043841,6.23E-05,0,0,0,0,0,0,0,0.000178449,0,0,0,7.59E-05,0,0,0.000669743,0,0,0,0,0.000183318,0,0,0,0,0,0,0,0,0,0,0,5.80E-05,0,0,0,0,0,0,6.21E-05,0.001139547,0.004177953
OTU102408,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Parapiptadenia; s__Parapiptadenia_zehntneri; ,0,0.000136537,4.70E-05,0.000311512,0,0.000104384,0.000155627,0,0.000249345,0,0,0.000125144,0.000285837,0,8.92E-05,0,0,0,0,0,0.000942644,7.44E-05,4.03E-05,0.00010755,0,0,0,0.000380156,0,0.000331115,0,0.000260129,4.32E-05,0,0,0,5.81E-05,0,0,0.000112003,6.18E-05,0,0,0,0,0.000186266,0,0.004102257
OTU38397,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_malacodes; ,0.000204778,0,0,0,0,0,0,8.56E-05,0,0.000166058,0.000108056,0,0,0.000204944,0,0.000121396,7.70E-05,0.000122037,7.59E-05,0.000119847,0,0.000148832,4.03E-05,7.17E-05,0.000247852,0.000790352,0.000183318,0,6.83E-05,0,2.88E-05,3.25E-05,0,0.000147281,0,0,0,0,0,0.000112003,3.09E-05,0,0.000602461,0,9.28E-05,0,9.50E-05,0.003977932
OTU6323,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Muhlenbergia; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001463227,0.001830552,0,0,0,0,0,0,0,0,0,0,3.42E-05,0,0,0,0,0,0,0,0,0,0.000115935,0,0,0,0,0.00040158,0,0,0,0.003845444
OTU52458,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Solanum; s__Solanum_batoides; ,0,0,0,0,0,0,0.000249004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003483043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003732047
OTU74623,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Camphorosmoideae; g__Bassia; s__Bassia_scoparia; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037284
OTU12968,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Miscanthus; s__Miscanthus_sinensis; ,0,0,0,0,5.42E-05,0,0,0,0,0,0,0,0.000142918,0,8.92E-05,3.03E-05,0,0.000884767,0,0,0,0,0,3.59E-05,0,0,0,0,3.42E-05,0,0,0,0,0,0,0,5.81E-05,0,0.001507159,0,0,0.000844535,0,0,0,0,0,0.003681229
OTU23813,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Piptadenia; ; s__,0,0,0,0.000455286,0,0.000104384,0.000186753,2.85E-05,0.000290903,0,0,0.000125144,0.000428755,0,0.000148708,0.000182094,0,0,0,0,0.000290044,7.44E-05,4.03E-05,0.00017925,0,0,0,0,0,0.000397338,0,0.000130064,4.32E-05,0,0,0,0,0,0,0,3.09E-05,0,0,0.00013386,0,0.000372532,0,0.003642411
OTU19697,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; ; s__,0,0,0.001456698,0,0,0.000939457,0,0,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001140468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003578181
OTU16029,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__Gnetidae; c__Ephedrales; o__Ephedraceae; f__; g__Ephedra; s__Ephedra_trifurca; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293527,0,0.000258198,0,0,0,0,0.003193467
OTU44935,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Nymphaeales; o__Nymphaeaceae; f__; g__Victoria; s__Victoria_amazonica; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001517451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68E-05,0,0,0.00156922,0,0,0,0,0,0,0,0,0,0,0.003123491
OTU14378,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Enteropogon; s__Enteropogon_macrostachyus; ,0.000136519,0,4.70E-05,0,0,0,0,0.000228154,0,0,0.000108056,0,0.000142918,0.000102472,2.97E-05,6.07E-05,0,9.15E-05,0,0.000149808,0,0,0.000161011,3.59E-05,8.26E-05,5.85E-05,0,0,3.42E-05,0,0.000144171,0,0,0.000110461,0,0,0,0.000104954,0,3.73E-05,0,0,8.61E-05,0.000870089,9.28E-05,0,0.000189925,0.003104848
OTU1268,0,0,1,1,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; ; f__; g__; s__,0,0,0,0,0,0,6.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001178247,0,0,0,0.001574307,5.80E-05,0,0,0,0,6.69E-05,0,0,0,0.002969664
