OTU,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU76829,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Hoffmannseggia; s__Hoffmannseggia_glauca;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,401,0,0,0,0,0,0,0,0,0,0,0,0,40694
OTU53175,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,23,2,16,0,21,9,1,97,0,56,15,5,4,60,19,17,17,16,20,37,2,10,34,21,12,30,5,0,21,0,43,3,0,42,0,1,13,12,8,30,50,15,4,6,16,0,29,38866
OTU84913,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Tachigali; s__Tachigali_myrmecophila;,0,26,4,92,0,10,81,27,42,3,0,37,15,0,56,3,7,4,14,0,55,12,2,39,0,0,3,12,0,48,0,53,23,0,1,2,12,0,0,18,31,1,0,12,0,65,3,37665
OTU9489,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Pseudopiptadenia; ; s__,0,21,1,36,0,1,35,2,12,0,0,87,107,0,16,125,0,1,1,0,19,5,2,18,0,0,5,4,0,28,0,12,8,0,0,1,5,0,1,4,19,0,0,3,0,25,1,36920
OTU666,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,532,0,0,0,1,0,0,0,0,0,0,34536
OTU22980,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Convolvulaceae; ; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,31822
OTU10453,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Fallopia; ; s__,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,28248
OTU45559,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Scopolia; s__Scopolia_japonica;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27127
OTU64,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24717
OTU47141,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Fillaeopsis; s__Fillaeopsis_discophora;,0,31,0,2,1,15,10,15,4,11,0,11,12,1,44,2,5,9,6,0,4,4,0,47,0,0,9,29,0,0,0,37,11,0,0,0,8,0,3,19,10,0,0,1,1,1,0,23576
